City,Cens_2010,Base_2010,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Lat,Lng,State
Atlanta,420003,427059.0,429410.0,437812.0,449016.0,453990.0,461154.0,468303.0,479174.0,491670.0,498183.0,506811.0,33.7489954,-84.3879824, Georgia
Kansas City,459787,459902.0,460697.0,462368.0,464595.0,467213.0,470629.0,475073.0,481670.0,488329.0,492012.0,495327.0,39.0997265,-94.5785667, Missouri
Colorado Springs,416427,417447.0,420685.0,427434.0,432782.0,438146.0,442361.0,449572.0,458714.0,465167.0,472567.0,478221.0,38.8338816,-104.8213634, Colorado
Omaha,408958,458989.0,459659.0,462101.0,465261.0,468086.0,470423.0,472638.0,475044.0,476271.0,477299.0,478192.0,41.2565369,-95.9345034, Nebraska
Raleigh,403892,404068.0,406353.0,413958.0,423304.0,431391.0,439503.0,449546.0,459469.0,465776.0,469314.0,474069.0,35.7795897,-78.6381787, North Carolina
Miami,399457,399481.0,400779.0,406593.0,411149.0,415661.0,425110.0,434738.0,449149.0,456617.0,462819.0,467963.0,25.7616798,-80.1917902, Florida
Long Beach,462257,462221.0,462431.0,464512.0,466873.0,468000.0,469109.0,470128.0,468719.0,466646.0,465865.0,462628.0,33.7700504,-118.1937395, California
Virginia Beach,437994,437903.0,438859.0,442583.0,445044.0,447706.0,448864.0,450304.0,450983.0,449896.0,449849.0,449974.0,36.8529263,-75.97798499999999, Virginia
Oakland,390724,390765.0,391406.0,396086.0,401104.0,406648.0,412901.0,418211.0,420947.0,424382.0,429056.0,433031.0,37.8043514,-122.2711639, California
Minneapolis,382578,382603.0,383067.0,388052.0,392768.0,400070.0,407067.0,411030.0,415079.0,420925.0,424903.0,429606.0,44.977753,-93.2650108, Minnesota
Tulsa,391906,392004.0,392403.0,393005.0,394643.0,398401.0,399892.0,403491.0,404007.0,402060.0,400414.0,401190.0,36.1539816,-95.99277500000001, Oklahoma
Tampa,335709,336150.0,337053.0,342589.0,348090.0,355172.0,362664.0,371464.0,380344.0,391026.0,397232.0,399700.0,27.950575,-82.4571776, Florida
Arlington,365438,365098.0,365892.0,370253.0,375629.0,378950.0,382721.0,388728.0,394384.0,397173.0,398123.0,398854.0,32.735687,-97.10806559999999, Texas
New Orleans,343829,343828.0,347772.0,360735.0,369787.0,378637.0,383940.0,389742.0,391843.0,391493.0,391004.0,390144.0,29.95106579999999,-90.0715323, Louisiana
Wichita,382368,382437.0,382745.0,383773.0,385751.0,387210.0,388416.0,389412.0,390519.0,390277.0,389231.0,389938.0,37.68717609999999,-97.33005299999999, Kansas
Bakersfield,347483,347817.0,348987.0,353221.0,357312.0,362834.0,366954.0,371348.0,374699.0,377940.0,381714.0,384145.0,35.3732921,-119.0187125, California
Cleveland,396815,396665.0,395926.0,392667.0,391550.0,391792.0,390871.0,389244.0,387662.0,385252.0,383214.0,381009.0,41.49932,-81.6943605, Ohio
Aurora,325078,324659.0,326055.0,332730.0,339261.0,345613.0,352660.0,360098.0,363277.0,367574.0,374572.0,379289.0,39.7294319,-104.8319195, Colorado
Anaheim,336265,336109.0,336760.0,339831.0,342071.0,343832.0,344604.0,348251.0,350013.0,350476.0,350698.0,350365.0,33.8365932,-117.9143012, California
Urban Honolulu CDP,337256,337721.0,339121.0,343059.0,346845.0,349237.0,349561.0,351571.0,351747.0,349750.0,346945.0,345064.0,21.3069444,-157.8583333, Hawaii
Santa Ana,324528,324774.0,325327.0,328227.0,330550.0,333716.0,333431.0,333417.0,333765.0,332627.0,331912.0,332318.0,33.7454725,-117.867653, California
Riverside,303871,303933.0,305466.0,309472.0,312323.0,315510.0,317702.0,320483.0,323684.0,326882.0,329654.0,331360.0,33.9806005,-117.3754942, California
Corpus Christi,305215,305226.0,305272.0,308103.0,312390.0,317043.0,320765.0,324672.0,325786.0,325568.0,326307.0,326586.0,27.8005828,-97.39638099999999, Texas
Lexington-Fayette urban county,295803,295870.0,296848.0,301696.0,305947.0,309865.0,311784.0,315819.0,319644.0,321964.0,322426.0,323152.0,38.0405837,-84.5037164, Kentucky
Henderson,257729,257001.0,257452.0,258752.0,263278.0,268274.0,274255.0,282167.0,289480.0,299314.0,309518.0,320189.0,36.0395247,-114.9817213, Nevada
Stockton,291707,292182.0,292888.0,295363.0,297045.0,297493.0,301062.0,304550.0,307158.0,310143.0,311628.0,312697.0,37.9577016,-121.2907796, California
St. Paul,285068,285112.0,285510.0,288872.0,291280.0,295054.0,297655.0,299915.0,302948.0,304913.0,306960.0,308096.0,44.9537029,-93.0899578, Minnesota
Cincinnati,296943,297025.0,296980.0,296187.0,296900.0,297905.0,298626.0,299439.0,299748.0,301587.0,302277.0,303940.0,39.1031182,-84.5120196, Ohio
St. Louis,319294,319289.0,319336.0,319344.0,319416.0,318476.0,317399.0,316010.0,312633.0,308233.0,303419.0,300576.0,38.6270025,-90.19940419999999, Missouri
Pittsburgh,305704,305245.0,305283.0,306012.0,306355.0,306902.0,305964.0,304070.0,304643.0,301494.0,300570.0,300286.0,40.44062479999999,-79.9958864, Pennsylvania
Greensboro,269666,268936.0,269598.0,272430.0,276041.0,279244.0,282261.0,284610.0,289182.0,291537.0,294518.0,296710.0,36.0726354,-79.7919754, North Carolina
Lincoln,258379,258794.0,259455.0,262690.0,265861.0,269129.0,274128.0,277345.0,281339.0,284527.0,286930.0,289102.0,40.813616,-96.7025955, Nebraska
Anchorage municipality,291826,291836.0,293321.0,296197.0,298255.0,301142.0,299893.0,297547.0,297249.0,294338.0,290521.0,288000.0,61.2180556,-149.9002778, Alaska
Plano,259841,259859.0,261234.0,267035.0,272329.0,274708.0,278226.0,283887.0,287269.0,287715.0,288747.0,287677.0,33.0198431,-96.6988856, Texas
Orlando,238300,238836.0,239326.0,243620.0,249935.0,255135.0,262469.0,270786.0,278512.0,281804.0,285903.0,287442.0,28.5383355,-81.3792365, Florida
Irvine,212375,212107.0,213450.0,220303.0,229063.0,236057.0,247136.0,255382.0,265345.0,276000.0,281732.0,287401.0,33.6845673,-117.8265049, California
Newark,277140,277135.0,277175.0,277574.0,277594.0,278121.0,278936.0,279636.0,280681.0,281237.0,281752.0,282011.0,40.735657,-74.1723667, New Jersey
Durham,228330,229892.0,230727.0,235341.0,241117.0,246992.0,253290.0,258647.0,265499.0,269844.0,274557.0,278993.0,35.9940329,-78.898619, North Carolina
Chula Vista,243916,243923.0,244648.0,248318.0,252379.0,256691.0,259885.0,264206.0,266238.0,269046.0,270819.0,274492.0,32.6400541,-117.0841955, California
Toledo,287208,287357.0,287065.0,285425.0,283185.0,282352.0,280712.0,279898.0,278897.0,276688.0,274864.0,272779.0,41.6528052,-83.5378674, Ohio
Fort Wayne,253691,253739.0,254161.0,256293.0,257626.0,259333.0,260570.0,262109.0,263513.0,265128.0,267460.0,270402.0,41.079273,-85.1393513, Indiana
St. Petersburg,244769,245177.0,245222.0,245871.0,246656.0,248453.0,252225.0,255041.0,259266.0,262588.0,264466.0,265351.0,27.7676008,-82.64029149999999, Florida
Laredo,236091,235780.0,236807.0,241195.0,245728.0,249602.0,252734.0,255271.0,257862.0,259324.0,260856.0,262491.0,27.5035613,-99.5075519, Texas
Jersey City,247597,247608.0,248324.0,252877.0,256072.0,257119.0,258632.0,260171.0,260427.0,263292.0,263851.0,262075.0,40.7177545,-74.0431435, New Jersey
Chandler,236123,236157.0,236454.0,236834.0,237660.0,239888.0,240888.0,243679.0,247845.0,253599.0,257186.0,261165.0,33.3061605,-111.8412502, Arizona
Madison,233209,233173.0,233730.0,236908.0,239880.0,243233.0,245848.0,248788.0,252677.0,255786.0,257854.0,259680.0,43.0730517,-89.4012302, Wisconsin
Lubbock,229573,229943.0,231105.0,233928.0,236361.0,239708.0,244350.0,247950.0,251387.0,254432.0,256469.0,258862.0,33.5778631,-101.8551665, Texas
Scottsdale,217385,217492.0,217638.0,220816.0,225191.0,228887.0,233949.0,241073.0,247953.0,251396.0,254479.0,258069.0,33.4941704,-111.9260519, Arizona
Reno,225221,225317.0,225652.0,227061.0,228926.0,230987.0,234096.0,238082.0,242143.0,246615.0,250146.0,255601.0,39.5296329,-119.8138027, Nevada
Buffalo,261310,261346.0,261275.0,260701.0,260155.0,260013.0,259548.0,258165.0,256816.0,256301.0,255781.0,255284.0,42.88644679999999,-78.8783689, New York
Gilbert town,208453,208462.0,209493.0,211466.0,215916.0,221626.0,227308.0,232401.0,237139.0,242695.0,249914.0,254114.0,33.3528264,-111.789027, Arizona
Glendale,226721,226172.0,226236.0,229304.0,233588.0,236869.0,239964.0,243103.0,245903.0,247784.0,249955.0,252381.0,33.5386523,-112.1859866, Arizona
North Las Vegas,216961,216667.0,216836.0,218291.0,221856.0,225346.0,228680.0,232537.0,236513.0,240504.0,245349.0,251974.0,36.1988592,-115.1175013, Nevada
Winston-Salem,229617,229627.0,230022.0,231867.0,233867.0,235728.0,238478.0,239755.0,241776.0,244501.0,246535.0,247945.0,36.09985959999999,-80.244216, North Carolina
Chesapeake,222209,222311.0,223556.0,225361.0,228091.0,230327.0,233360.0,235111.0,237464.0,240143.0,242359.0,244835.0,36.7682088,-76.2874927, Virginia
Norfolk,242803,242827.0,242999.0,243655.0,246149.0,245468.0,246576.0,246457.0,245680.0,244543.0,243585.0,242742.0,36.8507689,-76.28587259999999, Virginia
Fremont,214089,214074.0,214553.0,217391.0,221426.0,224796.0,228274.0,231687.0,233478.0,234544.0,237811.0,241110.0,37.5485396,-121.988583, California
Garland,226876,226908.0,227345.0,230055.0,233698.0,234660.0,235590.0,237161.0,236310.0,238327.0,241709.0,239928.0,32.912624,-96.63888329999999, Texas
Irving,216290,216285.0,216859.0,219859.0,225748.0,228943.0,232584.0,237201.0,239898.0,240608.0,241424.0,239798.0,32.8140177,-96.9488945, Texas
Hialeah,224669,224704.0,225470.0,228127.0,230445.0,232316.0,232850.0,233872.0,234283.0,236314.0,234941.0,233339.0,25.8575963,-80.2781057, Florida
Richmond,204214,204375.0,204302.0,206391.0,210794.0,213860.0,217044.0,220856.0,225369.0,227230.0,229221.0,230436.0,37.5407246,-77.4360481, Virginia
Boise City,205671,209384.0,209576.0,212635.0,215627.0,217330.0,219440.0,220850.0,224604.0,227648.0,228442.0,228959.0,43.6150186,-116.2023137, Idaho
Spokane,208916,209455.0,209525.0,209042.0,209304.0,210036.0,211095.0,212545.0,215191.0,217415.0,219332.0,222081.0,47.6587802,-117.4260465, Washington
Baton Rouge,229493,229423.0,229374.0,228643.0,228889.0,228346.0,227851.0,227202.0,226686.0,224414.0,222190.0,220236.0,30.4514677,-91.18714659999999, Louisiana
Tacoma,198397,198247.0,198230.0,199519.0,201537.0,202127.0,203740.0,206784.0,210248.0,213417.0,216111.0,217827.0,47.2528768,-122.4442906, Washington
San Bernardino,209924,210422.0,210637.0,212159.0,213161.0,213789.0,214222.0,215325.0,216036.0,216902.0,216323.0,215784.0,34.1083449,-117.2897652, California
Modesto,201165,203114.0,203301.0,204017.0,205040.0,206075.0,207652.0,209245.0,211231.0,213000.0,214389.0,215196.0,37.6392595,-120.9970014, California
Fontana,196069,196458.0,197317.0,199880.0,201212.0,202670.0,203972.0,206163.0,208718.0,211122.0,213202.0,214547.0,34.0922335,-117.435048, California
Des Moines,203433,204220.0,205032.0,207924.0,210244.0,212026.0,214350.0,215243.0,216308.0,216662.0,215994.0,214237.0,41.5868353,-93.6249593, Iowa
Moreno Valley,193365,193305.0,194240.0,196590.0,198214.0,200195.0,201831.0,202919.0,204711.0,206741.0,208889.0,213055.0,33.9424658,-117.2296717, California
Santa Clarita,176320,208778.0,208822.0,209843.0,210672.0,211376.0,212283.0,213184.0,213526.0,213734.0,213549.0,212979.0,34.3916641,-118.542586, California
Fayetteville,200564,200565.0,208337.0,208745.0,208884.0,211069.0,210076.0,209596.0,211065.0,209091.0,210748.0,211657.0,35.0526641,-78.87835849999999, North Carolina
Birmingham,212237,212585.0,212328.0,212095.0,211287.0,211765.0,211651.0,212259.0,211977.0,211533.0,210487.0,209403.0,33.5185892,-86.8103567, Alabama
Oxnard,197899,198047.0,198539.0,199968.0,201105.0,202835.0,204560.0,206228.0,207455.0,208831.0,209271.0,208881.0,34.1975048,-119.1770516, California
Rochester,210565,210674.0,210217.0,210491.0,210329.0,210179.0,209329.0,208561.0,207659.0,206410.0,206004.0,205695.0,43.15657789999999,-77.6088465, New York
Port St. Lucie,164603,164203.0,164848.0,166283.0,167888.0,169405.0,172669.0,177695.0,183521.0,189119.0,194808.0,201846.0,27.2730492,-80.3582261, Florida
Grand Rapids,188040,188036.0,188007.0,189104.0,190821.0,192982.0,194335.0,195056.0,196556.0,199135.0,200136.0,201013.0,42.9633599,-85.6680863, Michigan
Huntsville,180105,180395.0,180941.0,182327.0,183748.0,186001.0,187834.0,190333.0,192412.0,195420.0,198125.0,200574.0,34.7303688,-86.5861037, Alabama
Salt Lake City,186440,186433.0,186643.0,188265.0,190183.0,192121.0,191837.0,192163.0,194680.0,200932.0,200435.0,200567.0,40.7607793,-111.8910474, Utah
Frisco,116989,117174.0,118201.0,123515.0,128445.0,136794.0,144965.0,154390.0,164176.0,177730.0,188452.0,200490.0,33.1506744,-96.82361159999999, Texas
Yonkers,195976,196026.0,196407.0,197584.0,198057.0,198769.0,199367.0,199667.0,200077.0,199873.0,199883.0,200370.0,40.9312099,-73.89874689999999, New York
Amarillo,190695,190666.0,191249.0,193763.0,195404.0,196248.0,197200.0,197816.0,198694.0,199722.0,199183.0,199371.0,35.2219971,-101.8312969, Texas
Glendale,191719,191692.0,191720.0,192656.0,193859.0,195318.0,198232.0,199197.0,200118.0,201804.0,200688.0,199303.0,34.1425078,-118.255075, California
Huntington Beach,189992,191038.0,191296.0,192995.0,194174.0,197107.0,199610.0,200653.0,200284.0,200938.0,200126.0,199223.0,33.6594835,-117.9988026, California
McKinney,131117,131152.0,132934.0,137928.0,143510.0,149207.0,157143.0,163612.0,173577.0,182104.0,191748.0,199177.0,33.1983388,-96.6389342, Texas
Montgomery,205764,205501.0,205593.0,205198.0,203946.0,202439.0,201435.0,201018.0,200441.0,200047.0,198899.0,198525.0,32.3792233,-86.3077368, Alabama
Augusta-Richmond County consolidated government (balance),195844,195859.0,196375.0,195847.0,196989.0,196602.0,196579.0,196763.0,197276.0,197018.0,197025.0,197888.0,33.4734978,-82.0105148, Georgia
Aurora,197899,197975.0,198207.0,199150.0,199648.0,199803.0,200189.0,200315.0,200799.0,200391.0,199199.0,197757.0,41.7605849,-88.32007150000001, Illinois
Akron,199110,199209.0,199081.0,199112.0,198969.0,198972.0,199008.0,198588.0,198068.0,198085.0,197884.0,197597.0,41.0814447,-81.51900529999999, Ohio
Little Rock,193524,193538.0,193972.0,195292.0,196564.0,197143.0,197595.0,198178.0,198631.0,198314.0,197484.0,197312.0,34.7464809,-92.28959479999999, Arkansas
Tempe,161719,161774.0,162323.0,164477.0,168549.0,170740.0,175636.0,179114.0,184877.0,185792.0,191746.0,195805.0,33.4255104,-111.9400054, Arizona
Columbus,189885,190570.0,191101.0,195271.0,198965.0,203225.0,200563.0,198702.0,196219.0,193836.0,194169.0,195769.0,32.4609764,-84.9877094, Georgia
Overland Park,173372,173329.0,174040.0,176034.0,178683.0,180932.0,183980.0,186222.0,189302.0,191327.0,192724.0,195494.0,38.9822282,-94.6707917, Kansas
Grand Prairie,175396,175468.0,175974.0,178903.0,182030.0,183891.0,185824.0,188411.0,192095.0,193973.0,193989.0,194543.0,32.7459645,-96.99778459999999, Texas
Tallahassee,181376,181050.0,181438.0,182997.0,186298.0,185602.0,187094.0,188645.0,188870.0,191655.0,192763.0,194500.0,30.4382559,-84.28073289999999, Florida
Cape Coral,154305,154309.0,154731.0,157330.0,160558.0,164336.0,168365.0,173572.0,178534.0,183701.0,189468.0,194495.0,26.5628537,-81.9495331, Florida
Mobile,195111,194659.0,194577.0,193801.0,193761.0,193288.0,192582.0,191975.0,191472.0,190190.0,189809.0,188720.0,30.6953657,-88.0398912, Alabama
Knoxville,178874,178134.0,178258.0,179955.0,181093.0,181779.0,182631.0,184046.0,184986.0,186905.0,187362.0,187603.0,35.9606384,-83.9207392, Tennessee
Shreveport,199311,200976.0,201437.0,202327.0,202347.0,200469.0,198259.0,197001.0,194672.0,192023.0,189360.0,187112.0,32.5251516,-93.7501789, Louisiana
Worcester,181045,180891.0,181759.0,182387.0,182575.0,183327.0,184559.0,184627.0,184859.0,185325.0,185555.0,185428.0,42.2625932,-71.8022934, Massachusetts
Ontario,163924,163936.0,164377.0,165756.0,166630.0,167096.0,168097.0,170210.0,172561.0,175334.0,180718.0,185010.0,34.0633443,-117.6508876, California
Vancouver,161791,167159.0,167595.0,169046.0,170035.0,171565.0,173406.0,176409.0,178621.0,180360.0,182887.0,184463.0,45.6257379,-122.6760886, Washington
Sioux Falls,153888,153978.0,154533.0,156471.0,159847.0,163478.0,167050.0,170183.0,173503.0,177636.0,180398.0,183793.0,43.5460223,-96.731265, South Dakota
Chattanooga,167674,170322.0,170574.0,172341.0,173972.0,175325.0,175321.0,176400.0,177746.0,179530.0,181918.0,182799.0,35.0456297,-85.3096801, Tennessee
Brownsville,175023,174729.0,175362.0,178154.0,179652.0,180648.0,181656.0,181528.0,182311.0,182384.0,182333.0,182781.0,25.9017472,-97.4974838, Texas
Fort Lauderdale,165521,165754.0,166126.0,169012.0,170909.0,172275.0,175153.0,177356.0,178837.0,179877.0,182101.0,182437.0,26.1224386,-80.13731740000001, Florida
Providence,178042,177770.0,178029.0,178332.0,178813.0,178692.0,179119.0,179252.0,179548.0,179252.0,179520.0,179883.0,41.8239891,-71.4128343, Rhode Island
Newport News,180719,180955.0,180888.0,180078.0,180056.0,181275.0,181522.0,180958.0,180209.0,179447.0,178523.0,179225.0,37.0870821,-76.4730122, Virginia
Rancho Cucamonga,165269,165380.0,166226.0,167928.0,169959.0,170815.0,173220.0,174203.0,175782.0,176921.0,177345.0,177603.0,34.10639889999999,-117.5931084, California
Santa Rosa,167815,175038.0,175238.0,176243.0,177093.0,178684.0,180585.0,181485.0,181909.0,181596.0,176750.0,176753.0,38.440429,-122.7140548, California
Peoria,154065,154048.0,154846.0,155014.0,155326.0,156354.0,157770.0,160431.0,164212.0,168192.0,172263.0,175961.0,33.5805955,-112.2373779, Arizona
Oceanside,167086,167547.0,168079.0,170008.0,171590.0,173175.0,174318.0,175189.0,175451.0,175884.0,175758.0,175742.0,33.1958696,-117.3794834, California
Elk Grove,153015,152995.0,153375.0,155615.0,158083.0,160251.0,162701.0,165997.0,169156.0,171425.0,172603.0,174775.0,38.4087993,-121.3716178, California
Salem,154637,154931.0,155247.0,156171.0,157369.0,158814.0,160675.0,163175.0,166478.0,169627.0,172646.0,174365.0,44.9428975,-123.0350963, Oregon
Pembroke Pines,154750,154898.0,155265.0,158278.0,160245.0,162133.0,164065.0,165800.0,168321.0,170707.0,171975.0,173591.0,26.007765,-80.2962555, Florida
Eugene,156185,156431.0,156527.0,157424.0,158238.0,158441.0,160260.0,162910.0,165927.0,169391.0,170701.0,172622.0,44.0520691,-123.0867536, Oregon
Garden Grove,170883,170958.0,171181.0,172957.0,173809.0,174422.0,174423.0,174343.0,174571.0,173422.0,172195.0,171644.0,33.7742692,-117.9379952, California
Cary town,135234,135840.0,137086.0,142209.0,146154.0,151328.0,155439.0,159712.0,162477.0,165927.0,168042.0,170282.0,35.79154,-78.7811169, North Carolina
Fort Collins,143986,144879.0,145268.0,146673.0,149508.0,152668.0,156804.0,160991.0,163004.0,165541.0,168324.0,170243.0,40.5852602,-105.084423, Colorado
Corona,152374,152315.0,153052.0,154693.0,157405.0,158763.0,160419.0,163154.0,166067.0,167310.0,168476.0,169868.0,33.8752935,-117.5664384, California
Springfield,159498,159341.0,159376.0,160246.0,161915.0,163708.0,164749.0,166133.0,166541.0,167116.0,167539.0,167882.0,37.2089572,-93.29229889999999, Missouri
Jackson,173514,173551.0,173698.0,175149.0,174822.0,172927.0,172014.0,170901.0,169022.0,166823.0,163772.0,160628.0,32.2987573,-90.1848103, Mississippi
Alexandria,139966,139998.0,140729.0,144219.0,147291.0,149637.0,151375.0,153654.0,156698.0,159215.0,159069.0,159428.0,38.8048355,-77.0469214, Virginia
Hayward,144186,144427.0,144835.0,146935.0,149406.0,151753.0,154376.0,157999.0,159331.0,160324.0,159760.0,159203.0,37.6687665,-122.0809964, California
Clarksville,132929,132901.0,133486.0,136104.0,142652.0,142281.0,145899.0,148147.0,149162.0,152917.0,156376.0,158146.0,36.5297706,-87.3594528, Tennessee
Lakewood,142980,142600.0,142759.0,144087.0,145396.0,146878.0,149434.0,152052.0,154039.0,154966.0,156682.0,157935.0,39.7047095,-105.0813734, Colorado
Lancaster,156633,156649.0,156824.0,158078.0,158253.0,159055.0,159634.0,159813.0,159633.0,159434.0,158622.0,157601.0,34.6867846,-118.1541632, California
Salinas,150441,150607.0,150887.0,152412.0,153815.0,154958.0,155717.0,156244.0,156830.0,156463.0,155647.0,155465.0,36.6777372,-121.6555013, California
Palmdale,152750,152733.0,152936.0,153996.0,154861.0,156495.0,156770.0,156988.0,156739.0,156558.0,156158.0,155079.0,34.5794343,-118.1164613, California
Hollywood,140768,140709.0,141013.0,143421.0,144998.0,146038.0,146978.0,148313.0,151630.0,153371.0,154381.0,154817.0,26.0112014,-80.1494901, Florida
Springfield,153060,153132.0,153569.0,153773.0,153933.0,154056.0,154376.0,154582.0,154028.0,154207.0,154329.0,153606.0,42.1014831,-72.589811, Massachusetts
Macon-Bibb County,(X),155783.0,155814.0,156211.0,156606.0,155031.0,154329.0,153945.0,153152.0,152840.0,152903.0,153159.0,32.8406946,-83.6324022, Georgia
